GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
124000,124300,124300,CURRENT_ASSET,CURRENT_ASSET,MONEY,LOANS RECEIVABLE - OTHERS,,0
120000,126000,126000,CURRENT_ASSET,ACCREC_UNAPPLIED,MONEY,ACCOUNTS RECEIVABLE - UNAPPLIED PAYMENTS,,0
120000,129000,129000,CURRENT_ASSET,CURRENT_ASSET,MONEY,A/R MISCELLANEOUS,,0
100000,130000,130000,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,ACCOUNTS RECEIVABLE - MAINTENANCE & AMENITIES,,0
130000,130001,130001,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B111,,0
130000,130002,130002,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B112,,0
130000,130003,130003,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B113,,0
130000,130004,130004,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B114,,0
130000,130005,130005,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B115,,0
130000,130006,130006,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B116,,0
130000,130007,130007,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B117,,0
130000,130008,130008,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B118,,0
130000,130009,130009,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B121,,0
130000,130010,130010,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B122,,0
130000,130011,130011,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B123,,0
130000,130012,130012,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B124,,0
130000,130013,130013,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B125,,0
130000,130014,130014,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B126,,0
130000,130015,130015,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B127,,0
130000,130016,130016,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Owner B128,,0
